1979,physics,115,Steven,Weinberg,US,"New York, NY"
1979,chemistry,252,Herbert C.,Brown,UK,London
1979,chemistry,253,Georg,Wittig,DE,Berlin
1979,medicine,417,Allan M.,Cormack,ZA,Johannesburg
1979,medicine,418,Godfrey N.,Hounsfield,UK,Newark
1979,peace,540,Mother Teresa,,MK,Uskup (now Skopje)
1979,literature,655,Odysseus,Elytis,GR,Iráklion
1979,economics,692,Theodore W.,Schultz,US,"Arlington, SD"
1979,economics,693,Sir Arthur,Lewis,LC,Castries
1915,physics,20,Sir William Henry,Bragg,UK,Wigton
1915,physics,21,William Lawrence,Bragg,AU,Adelaide
1915,chemistry,176,Richard Martin,Willstätter,DE,Karlsruhe
1915,literature,584,Romain,Rolland,FR,Clamecy
1951,physics,56,Sir John Douglas,Cockcroft,UK,Todmorden
1951,physics,57,Ernest Thomas Sinton,Walton,IE,Dungarvan
1951,chemistry,212,Edwin Mattison,McMillan,US,"Redondo Beach, CA"
1951,chemistry,213,Glenn Theodore,Seaborg,US,"Ishpeming, MI"
1951,medicine,352,Max,Theiler,ZA,Pretoria
1951,peace,512,Léon,Jouhaux,FR,Paris
1951,literature,622,Pär Fabian,Lagerkvist,SE,Växjö
1962,physics,77,Lev Davidovich,Landau,AZ,Baku
1962,peace,217,Linus Carl,Pauling,US,"Portland, OR"
1962,chemistry,226,Max Ferdinand,Perutz,AT,Vienna
1962,chemistry,227,John Cowdery,Kendrew,UK,Oxford
1962,medicine,372,Francis Harry Compton,Crick,UK,Northampton
1962,medicine,373,James Dewey,Watson,US,"Chicago, IL"
1962,medicine,374,Maurice Hugh Frederick,Wilkins,NZ,Pongaroa
1962,literature,634,John,Steinbeck,US,"Salinas, CA"
1967,physics,88,Hans Albrecht,Bethe,FR,Strassburg (now Strasbourg)
1967,chemistry,233,Manfred,Eigen,DE,Bochum
1967,chemistry,234,Ronald George Wreyford,Norrish,UK,Cambridge
1967,chemistry,235,George,Porter,UK,Stainforth
1967,medicine,385,Ragnar,Granit,FI,Helsinki
1967,medicine,386,Haldan Keffer,Hartline,US,"Bloomsburg, PA"
1967,medicine,387,George,Wald,US,"New York, NY"
1967,literature,641,Miguel Angel,Asturias,GT,Guatemala City
1968,physics,89,Luis Walter,Alvarez,US,"San Francisco, CA"
1968,chemistry,236,Lars,Onsager,NO,Kristiania (now Oslo)
1968,medicine,388,Robert W.,Holley,US,"Urbana, IL"
1968,medicine,389,Har Gobind,Khorana,IN,Raipur
1968,medicine,390,Marshall W.,Nirenberg,US,"New York, NY"
1968,peace,526,René,Cassin,FR,Bayonne
1968,literature,642,Yasunari,Kawabata,JP,Osaka
1938,physics,46,Enrico,Fermi,IT,Rome
1938,chemistry,198,Richard,Kuhn,,Vienna
1938,medicine,333,Corneille Jean François,Heymans,BE,Ghent
1938,peace,503,Office international Nansen pour les Réfugiés (Nansen International Office for Refugees),,,
1938,literature,610,Pearl,Buck,US,"Hillsboro, WV"
1926,physics,32,Jean Baptiste,Perrin,FR,Lille
1926,chemistry,183,The (Theodor),Svedberg,SE,Fleräng
1926,medicine,316,Johannes Andreas Grib,Fibiger,DK,Silkeborg
1926,peace,490,Aristide,Briand,FR,Nantes
1926,peace,491,Gustav,Stresemann,DE,Berlin
1926,literature,597,Grazia,Deledda,IT,"Nuoro, Sardinia"
1916,literature,585,Carl Gustaf Verner,von Heidenstam,SE,Olshammar
2007,medicine,811,Mario R.,Capecchi,IT,Verona
2007,medicine,812,Sir Martin J.,Evans,UK,Stroud
2007,medicine,813,Oliver,Smithies,UK,Halifax
2007,physics,814,Albert,Fert,FR,Carcassonne
2007,physics,815,Peter,Grünberg,CZ,Plzen
2007,chemistry,816,Gerhard,Ertl,DE,Bad Cannstatt
2007,literature,817,Doris,Lessing,IR,Kermanshah
2007,peace,818,Intergovernmental Panel on Climate Change (IPCC),,,
2007,peace,819,Albert Arnold (Al),Gore Jr.,US,"Washington, DC"
2007,economics,820,Leonid,Hurwicz,RU,Moscow
2007,economics,821,Eric S.,Maskin,US,"New York, NY"
2007,economics,822,Roger B.,Myerson,US,"Boston, MA"
1923,physics,28,Robert Andrews,Millikan,US,"Morrison, IL"
1923,chemistry,181,Fritz,Pregl,SI,Laibach (now Ljubljana)
1923,medicine,313,Frederick Grant,Banting,CA,Alliston
1923,medicine,314,John James Rickard,Macleod,GB,Cluny
1923,literature,593,William Butler,Yeats,IE,Dublin
1955,physics,63,Willis Eugene,Lamb,US,"Los Angeles, CA"
1955,physics,64,Polykarp,Kusch,DE,Blankenburg
1955,chemistry,218,Vincent,du Vigneaud,US,"Chicago, IL"
1955,medicine,359,Axel Hugo Theodor,Theorell,SE,Linköping
1955,literature,626,Halldór Kiljan,Laxness,IS,Reykjavik
1998,physics,155,Robert B.,Laughlin,US,"Visalia, CA"
1998,physics,156,Horst L.,Störmer,,Frankfurt-on-the-Main
1998,physics,157,Daniel C.,Tsui,CN,Henan
1998,chemistry,290,Walter,Kohn,AT,Vienna
1998,chemistry,291,John A.,Pople,UK,Burnham-on-Sea
1998,medicine,458,Robert F.,Furchgott,US,"Charleston, SC"
1998,medicine,459,Louis J.,Ignarro,US,"Brooklyn, NY"
1998,medicine,460,Ferid,Murad,US,"Whiting, IN"
1998,peace,566,John,Hume,IE,Londonderry
1998,peace,567,David,Trimble,IE,Belfast
1998,literature,675,José,Saramago,PT,Azinhaga
1998,economics,719,Amartya,Sen,IN,Santiniketan
1936,physics,42,Victor Franz,Hess,AT,Peggau
1936,physics,43,Carl David,Anderson,US,"New York, NY"
1936,chemistry,195,Petrus (Peter) Josephus Wilhelmus,Debye,NL,Maastricht
1936,medicine,330,Sir Henry Hallett,Dale,UK,London
1936,medicine,331,Otto,Loewi,DE,Frankfurt-on-the-Main
1936,peace,501,Carlos,Saavedra Lamas,AR,Buenos Aires
1936,literature,608,Eugene Gladstone,O'Neill,US,"New York, NY"
2001,medicine,735,Leland H.,Hartwell,US,"Los Angeles, CA"
2001,medicine,736,Tim,Hunt,UK,Neston
2001,medicine,737,Sir Paul M.,Nurse,UK,Norwich
2001,physics,738,Eric A.,Cornell,US,"Palo Alto, CF"
2001,physics,739,Wolfgang,Ketterle,,Heidelberg
2001,physics,740,Carl E.,Wieman,US,"Corvallis, OR"
2001,chemistry,741,William S.,Knowles,US,"Taunton, MA"
2001,chemistry,742,Ryoji,Noyori,JP,Kobe
2001,chemistry,743,K. Barry,Sharpless,US,"Philadelphia, PA"
2001,economics,744,George A.,Akerlof,US,"New Haven, CT"
2001,economics,745,A. Michael,Spence,US,"Montclair, NJ"
2001,economics,746,Joseph E.,Stiglitz,US,"Gary, IN"
2001,literature,747,Sir Vidiadhar Surajprasad,Naipaul,TT,
2001,peace,748,United Nations (U.N.),,,
2001,peace,749,Kofi,Annan,GH,Kumasi
2002,medicine,750,Sydney,Brenner,ZA,Germiston
2002,medicine,751,H. Robert,Horvitz,US,"Chicago, IL"
2002,medicine,752,John E.,Sulston,UK,Cambridge
2002,physics,753,Raymond,Davis Jr.,US,"Washington, DC"
2002,physics,754,Masatoshi,Koshiba,JP,Toyohashi
2002,physics,755,Riccardo,Giacconi,IT,Genoa
2002,chemistry,756,John B.,Fenn,US,"New York, NY"
2002,chemistry,757,Koichi,Tanaka,JP,Toyama City
2002,chemistry,758,Kurt,Wüthrich,CH,Aarberg
2002,economics,759,Daniel,Kahneman,IL,Tel Aviv
2002,economics,760,Vernon L.,Smith,US,"Wichita, KS"
2002,literature,761,Imre,Kertész,HU,Budapest
2002,peace,762,Jimmy,Carter,US,"Plains, GA"
1910,physics,15,Johannes Diderik,van der Waals,NL,Leiden
1910,chemistry,169,Otto,Wallach,RU,Koenigsberg (now Kaliningrad)
1910,medicine,304,Albrecht,Kossel,DE,Rostock
1910,peace,477,Bureau international permanent de la Paix (Permanent International Peace Bureau),,,
1910,literature,580,Paul Johann Ludwig,Heyse,DE,Berlin
1969,physics,90,Murray,Gell-Mann,US,"New York, NY"
1969,chemistry,237,Derek H. R.,Barton,UK,Gravesend
1969,chemistry,238,Odd,Hassel,NO,Kristiania (now Oslo)
1969,medicine,391,Max,Delbrück,DE,Berlin
1969,medicine,392,Alfred D.,Hershey,US,"Owosso, MI"
1969,medicine,393,Salvador E.,Luria,IT,Torino
1969,peace,527,International Labour Organization (I.L.O.),,,
1969,literature,643,Samuel,Beckett,IE,Dublin
1969,economics,677,Ragnar,Frisch,NO,Oslo
1969,economics,678,Jan,Tinbergen,NL,the Hague
1974,physics,100,Sir Martin,Ryle,UK,Brighton
1974,physics,101,Antony,Hewish,UK,Fowey
1974,chemistry,246,Paul J.,Flory,US,"Sterling, IL"
1974,medicine,403,Albert,Claude,BE,Longlier
1974,medicine,404,Christian,de Duve,UK,Thames Ditton
1974,medicine,405,George E.,Palade,RO,Iasi
1974,peace,532,Seán,MacBride,FR,Paris
1974,peace,533,Eisaku,Sato,JP,Tabuse
1974,literature,649,Eyvind,Johnson,SE,Svartbjörnsbyn
1974,literature,650,Harry,Martinson,SE,Jämshög
1974,economics,684,Gunnar,Myrdal,SE,Skattungbyn
1974,economics,685,Friedrich August,von Hayek,AT,Vienna
1917,physics,22,Charles Glover,Barkla,UK,Widnes
1917,peace,482,Comité international de la Croix Rouge (International Committee of the Red Cross),,,
1917,literature,586,Karl Adolph,Gjellerup,DK,Roholte
1917,literature,587,Henrik,Pontoppidan,DK,Fredericia
1990,physics,138,Jerome I.,Friedman,US,"Chicago, IL"
1990,physics,139,Henry W.,Kendall,US,"Boston, MA"
1990,physics,140,Richard E.,Taylor,CA,"Medicine Hat, Alberta"
1990,chemistry,275,Elias James,Corey,US,"Methuen, MA"
1990,medicine,442,Joseph E.,Murray,US,"Milford, MA"
1990,medicine,443,E. Donnall,Thomas,US,"Mart, TX"
1990,peace,552,Mikhail Sergeyevich,Gorbachev,RU,Privolnoye
1990,literature,667,Octavio,Paz,MX,Mexico City
1990,economics,704,Harry M.,Markowitz,US,"Chicago, IL"
1990,economics,705,Merton H.,Miller,US,"Boston, MA"
1990,economics,706,William F.,Sharpe,US,"Boston, MA"
2000,medicine,722,Arvid,Carlsson,SE,Uppsala
2000,medicine,723,Paul,Greengard,US,"New York, NY"
